source_row,order_id,customer_id,order_date,product,category,quantity,unit_price,paid,notes,reason_codes
4,ORD-1003,C003,01-07-2026,USB Cable,electronics,3,8.99,Y,priority,invalid_order_date
5,ORD-1004,C004,2026-07-02,Lunch Box,home,,15.00,yes,missing quantity,blank_quantity
6,ORD-1005,C999,2026-07-02,Pen Set,stationery,2,5.25,no,unknown customer,unknown_customer_id
7,ORD-1006,C001,2026-07-02,Desk Lamp,Home,1,not-a-price,yes,bad price,invalid_unit_price
8,,C001,2026-07-03,Paper Clips,office,3,1.99,yes,missing order id,blank_order_id
9,ORD-1008,C002,2026-07-03,Mouse Pad,ELECTRONICS,0,7.00,yes,zero quantity,nonpositive_quantity
10,ORD-1009,C003,2026-07-03,Sticky Notes,Office,4,2.50,unknown,bad paid value,invalid_paid
13,ORD-1012,C002,2026-07-05,Notebook,STATIONERY,5,4.50,false,earlier duplicate,duplicate_order_id_superseded
18,ORD-1016,C002,,Water Bottle,home,2,12.00,yes,missing date,blank_order_date
19,ORD-1017,C003,2026-07-07,,stationery,1,3.00,yes,missing product,blank_product
20,ORD-1018,C004,2026-07-07,File Folder,unknown,2,6.00,no,bad category,invalid_category
