order_id,customer_id,order_date,product,category,quantity,unit_price,paid,notes
 ORD-1001 ,C001,2026-07-01,Notebook,stationery,2,$4.50,yes, First order 
ORD-1002,C002,2026/07/01,Water Bottle,HOME,1,12.00,true,
ORD-1003,C003,01-07-2026,USB Cable,electronics,3,8.99,Y,priority
ORD-1004,C004,2026-07-02,Lunch Box,home,,15.00,yes,missing quantity
ORD-1005,C999,2026-07-02,Pen Set,stationery,2,5.25,no,unknown customer
ORD-1006,C001,2026-07-02,Desk Lamp,Home,1,not-a-price,yes,bad price
,C001,2026-07-03,Paper Clips,office,3,1.99,yes,missing order id
ORD-1008,C002,2026-07-03,Mouse Pad,ELECTRONICS,0,7.00,yes,zero quantity
ORD-1009,C003,2026-07-03,Sticky Notes,Office,4,2.50,unknown,bad paid value
ORD-1010,C004,2026-07-04,Coffee Mug,kitchen,1,9.50,1,category alias
ORD-1011,C001,2026-07-04,Keyboard,electronics,1,49.95,TRUE,
ORD-1012,C002,2026-07-05,Notebook,STATIONERY,5,4.50,false,earlier duplicate
ORD-1012,C002,2026-07-05,Notebook,STATIONERY,6,4.50,false,later correction
ORD-1013,C003,2026-07-05,Pen Set,stationery,2,5.25,0,
ORD-1014,C004,2026-07-06,Desk Organizer,OFFICE,2,18.75,yes,
ORD-1015,C001,2026-07-06,USB Hub,electronics,1,29.99, yes ,trim paid
ORD-1016,C002,,Water Bottle,home,2,12.00,yes,missing date
ORD-1017,C003,2026-07-07,,stationery,1,3.00,yes,missing product
ORD-1018,C004,2026-07-07,File Folder,unknown,2,6.00,no,bad category
ORD-1019,C001,2026-07-08,Notebook, stationery ,2,4.50,yes,"New, customer"
